--- DETTAGLI PARTITA ---
Id,2730
Comune Id,4
Numero Partita,1
Suffisso Partita,A
Data Impianto,2025-06-07
Data Chiusura,
Numero Provenienza,
Stato,attiva
Tipo,principale
Data Creazione,2025-06-07T16:57:36
Data Modifica,2025-06-07T16:57:36
Comune Nome,Comune Stress Test 1

--- POSSESSORI ---
Id,Comune Id,Cognome Nome,Paternita,Nome Completo,Attivo,Data Creazione,Data Modifica,Titolo,Quota
8,4,Stress 1,fu Stress Test,Possessore 1-1 Ros,True,2025-06-07T15:21:58,2025-06-07T15:43:30,proprietà esclusiva,

--- VARIAZIONI ---
Id,Partita Origine Id,Partita Destinazione Id,Tipo,Data Variazione,Numero Riferimento,Nominativo Riferimento,Data Creazione,Data Modifica,Contratto Tipo,Data Contratto,Notaio,Repertorio
225,2730,2725,Trasferimento,2025-06-07,TI-7506,Trasferimento immobile ID 7506,2025-06-07T16:58:26,2025-06-07T16:58:26,,,,
