--- DETTAGLI POSSESSORE ---
Id,1
Comune Id,1
Cognome Nome,Stress 1
Paternita,fu Stress Test
Nome Completo,Possessore 1-1 Rossi
Attivo,True
Data Creazione,2025-05-19T13:31:39.030528
Data Modifica,2025-05-19T13:31:39.030528
Comune Nome,Comune Stress Test 1

--- PARTITE ASSOCIATE ---
Id,Comune Id,Numero Partita,Tipo,Data Impianto,Data Chiusura,Numero Provenienza,Stato,Data Creazione,Data Modifica,Comune Nome,Titolo,Quota
1,1,1001,principale,2001-05-19,,,attiva,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Comune Stress Test 1,proprietÃ  esclusiva,
2,1,1002,principale,2012-05-19,,,attiva,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Comune Stress Test 1,proprietÃ  esclusiva,
3,1,1003,principale,2008-05-19,,,attiva,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Comune Stress Test 1,proprietÃ  esclusiva,
4,1,1004,principale,2020-05-19,2025-04-07,,inattiva,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Comune Stress Test 1,proprietÃ  esclusiva,
5,1,1005,principale,1996-05-19,,,attiva,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Comune Stress Test 1,proprietÃ  esclusiva,

--- IMMOBILI ASSOCIATI (TRAMITE PARTITE) ---
Id,Partita Id,Localita Id,Natura,Numero Piani,Numero Vani,Consistenza,Classificazione,Data Creazione,Data Modifica,Localita Nome,Numero Partita,Comune Nome
1,1,2,Edificio Stress 1,,,168 mq,Classe Stress 5,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-2,1001,Comune Stress Test 1
2,1,19,Edificio Stress 2,,,71 mq,Classe Stress 4,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-19,1001,Comune Stress Test 1
3,1,16,Edificio Stress 3,,,61 mq,Classe Stress 5,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-16,1001,Comune Stress Test 1
4,2,3,Edificio Stress 1,,,239 mq,Classe Stress 1,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-3,1002,Comune Stress Test 1
5,2,15,Edificio Stress 2,,,93 mq,Classe Stress 5,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-15,1002,Comune Stress Test 1
6,2,16,Edificio Stress 3,,,76 mq,Classe Stress 5,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-16,1002,Comune Stress Test 1
7,3,12,Edificio Stress 1,,,81 mq,Classe Stress 3,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-12,1003,Comune Stress Test 1
8,3,17,Edificio Stress 2,,,141 mq,Classe Stress 3,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-17,1003,Comune Stress Test 1
9,3,18,Edificio Stress 3,,,185 mq,Classe Stress 2,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-18,1003,Comune Stress Test 1
13,5,15,Edificio Stress 1,,,201 mq,Classe Stress 5,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-15,1005,Comune Stress Test 1
14,5,4,Edificio Stress 2,,,152 mq,Classe Stress 1,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-4,1005,Comune Stress Test 1
15,5,4,Edificio Stress 3,,,102 mq,Classe Stress 5,2025-05-19T13:31:39.030528,2025-05-19T13:31:39.030528,Via Stress 1-4,1005,Comune Stress Test 1
